Timestamp,BP_KWH,EV_KWH,GS_KWH,SURE_KWH,VM_KWH,ACE_KWH,ShowRoom_KWH
20-Jul-23 1:45 PM ICT,869.6,74.2,1665.0,457.7,1693.3,3245.1,4099.2
20-Jul-23 2:00 PM ICT,880.2,74.2,1678.0,459.6,1699.1,3277.1,4139.5
20-Jul-23 2:15 PM ICT,885.9,74.2,1692.7,462.0,1705.3,3309.1,4179.3
20-Jul-23 2:30 PM ICT,899.5,74.3,1707.1,464.3,1712.7,3341.1,4218.3
20-Jul-23 2:45 PM ICT,905.6,74.3,1720.0,466.6,1720.0,3373.1,4259.2
20-Jul-23 3:00 PM ICT,913.1,74.4,1734.5,468.6,1728.0,3405.1,4300.8
20-Jul-23 3:15 PM ICT,922.1,74.4,1748.6,470.5,1735.6,3437.1,4339.6
20-Jul-23 3:30 PM ICT,933.6,74.4,1763.4,472.9,1742.1,3469.1,4380.2
20-Jul-23 3:45 PM ICT,945.4,74.5,1778.1,475.2,1748.6,3501.1,4418.3
20-Jul-23 4:00 PM ICT,958.6,74.0,1793.9,477.6,1755.2,3533.1,4461.9
20-Jul-23 4:15 PM ICT,970.1,74.0,1811.1,479.6,1763.6,3549.1,4503.7
20-Jul-23 4:30 PM ICT,984.1,74.1,1827.9,481.5,1772.3,3549.1,4543.1
20-Jul-23 4:45 PM ICT,989.2,74.1,1842.6,483.3,1779.8,3556.5,4580.7
20-Jul-23 5:00 PM ICT,995.0,74.1,1855.4,484.9,1784.9,3553.0,4613.3
20-Jul-23 5:15 PM ICT,999.7,74.1,1858.5,485.0,1786.3,3553.0,4628.5
20-Jul-23 5:30 PM ICT,999.9,74.1,1859.2,485.2,1786.7,3569.0,4635.2
20-Jul-23 5:45 PM ICT,1000.0,74.3,1859.7,485.3,1787.0,3569.0,4641.2
20-Jul-23 6:00 PM ICT,1000.1,80.7,1860.1,485.4,1787.3,3569.0,4652.4
20-Jul-23 6:15 PM ICT,996.3,87.2,1860.6,485.6,1787.6,3569.0,4662.1
20-Jul-23 6:30 PM ICT,996.6,93.7,1861.1,485.9,1788.0,3569.0,4671.6
20-Jul-23 6:45 PM ICT,996.9,97.8,1861.6,486.3,1788.3,3572.2,4678.3
20-Jul-23 7:00 PM ICT,997.2,98.2,1862.3,486.6,1789.0,3575.7,4683.4
20-Jul-23 7:15 PM ICT,997.5,98.2,1863.0,486.9,1789.6,3580.3,4688.0
20-Jul-23 7:30 PM ICT,997.8,98.3,1863.7,487.2,1790.2,3571.6,4691.0
20-Jul-23 7:45 PM ICT,997.9,98.3,1864.4,487.6,1790.8,3575.0,4694.1
20-Jul-23 8:00 PM ICT,998.0,98.3,1865.1,487.9,1791.4,3579.5,4697.4
20-Jul-23 8:15 PM ICT,998.1,98.3,1865.7,488.2,1792.0,3582.2,4700.3
20-Jul-23 8:30 PM ICT,998.2,98.3,1866.5,488.5,1792.6,3573.4,4703.3
20-Jul-23 8:45 PM ICT,998.3,98.3,1867.2,488.7,1793.2,3579.3,4706.0
20-Jul-23 9:00 PM ICT,998.4,98.3,1867.9,488.9,1793.9,3582.3,4708.6
20-Jul-23 9:15 PM ICT,998.5,98.3,1868.6,489.1,1794.5,3568.6,4711.3
20-Jul-23 9:30 PM ICT,998.6,98.3,1869.3,489.3,1795.1,3578.8,4714.1
20-Jul-23 9:45 PM ICT,998.7,98.3,1870.0,489.5,1795.6,3582.0,4716.8
20-Jul-23 10:00 PM ICT,998.8,98.3,1870.6,489.7,1796.2,3568.4,4719.1
20-Jul-23 10:15 PM ICT,998.9,98.3,1871.3,489.9,1796.8,3574.8,4721.5
20-Jul-23 10:30 PM ICT,999.0,98.4,1864.0,490.1,1797.4,3578.6,4723.7
20-Jul-23 10:45 PM ICT,999.0,98.4,1872.7,490.3,1798.0,3581.6,4726.0
20-Jul-23 11:00 PM ICT,999.1,98.4,1873.4,490.5,1798.6,3575.0,4728.2
20-Jul-23 11:15 PM ICT,999.2,98.4,1874.0,490.7,1799.0,3575.7,4730.5
20-Jul-23 11:30 PM ICT,999.3,98.4,1874.6,490.9,1799.5,3581.6,4732.7
20-Jul-23 11:45 PM ICT,999.4,98.4,1875.3,491.0,1800.0,3577.5,4734.9
21-Jul-23 12:00 AM ICT,999.5,98.4,1875.9,491.2,1800.6,3581.3,4737.1
21-Jul-23 12:15 AM ICT,999.6,98.4,1876.5,491.4,1801.1,3568.0,4739.3
21-Jul-23 12:30 AM ICT,999.7,98.4,1877.2,491.6,1801.5,3572.0,4741.5
21-Jul-23 12:45 AM ICT,999.8,98.4,1877.8,491.7,1802.0,3580.5,4743.8
21-Jul-23 1:00 AM ICT,999.9,98.4,1878.4,491.9,1802.5,3582.7,4746.1
21-Jul-23 1:15 AM ICT,1000.0,98.4,1879.0,492.1,1803.1,3570.6,4748.4
21-Jul-23 1:30 AM ICT,1000.1,98.5,1879.6,492.3,1803.5,3576.8,4750.9
21-Jul-23 1:45 AM ICT,996.2,98.5,1880.1,492.5,1804.0,3580.7,4753.3
21-Jul-23 2:00 AM ICT,996.3,98.5,1880.6,492.7,1804.5,3582.6,4755.6
21-Jul-23 2:15 AM ICT,996.5,98.5,1881.2,492.9,1805.0,3572.5,4757.9
21-Jul-23 2:30 AM ICT,1000.6,98.5,1881.8,493.2,1805.5,3580.4,4760.2
21-Jul-23 2:45 AM ICT,1000.8,98.5,1882.3,493.4,1806.0,3574.8,4762.6
21-Jul-23 3:00 AM ICT,1000.9,98.0,1882.9,493.6,1806.5,3571.2,4764.9
21-Jul-23 3:15 AM ICT,1001.1,98.0,1883.4,493.8,1806.9,3580.1,4767.2
21-Jul-23 3:30 AM ICT,1001.2,98.0,1883.9,494.0,1807.3,3573.6,4769.5
21-Jul-23 3:45 AM ICT,1001.3,98.0,1884.4,494.2,1807.8,3583.7,4771.8
21-Jul-23 4:00 AM ICT,1001.5,98.0,1885.0,494.4,1808.3,3579.4,4774.0
21-Jul-23 4:15 AM ICT,1001.6,98.0,1885.5,494.6,1808.8,3573.2,4776.2
21-Jul-23 4:30 AM ICT,1001.7,98.1,1886.1,494.7,1809.2,3582.5,4778.5
21-Jul-23 4:45 AM ICT,1001.8,98.1,1886.6,494.9,1809.7,3576.5,4780.8
21-Jul-23 5:00 AM ICT,1001.8,98.1,1887.1,495.2,1810.2,3569.4,4783.1
21-Jul-23 5:15 AM ICT,1001.9,98.1,1887.6,495.3,1810.7,3579.6,4785.2
21-Jul-23 5:30 AM ICT,1002.0,98.1,1887.9,495.5,1811.0,3575.4,4787.5
21-Jul-23 5:45 AM ICT,1002.0,98.1,1888.3,495.6,1811.2,3583.1,4789.9
21-Jul-23 6:00 AM ICT,1002.1,98.1,1888.7,495.7,1811.4,3570.8,4792.4
21-Jul-23 6:15 AM ICT,1002.1,98.1,1889.1,495.8,1811.6,3570.8,4794.9
21-Jul-23 6:30 AM ICT,1002.3,98.1,1889.4,496.0,1811.8,3570.8,4797.0
21-Jul-23 6:45 AM ICT,1002.5,98.1,1889.8,496.1,1812.0,3570.8,4799.5
21-Jul-23 7:00 AM ICT,1002.7,98.1,1890.2,496.2,1812.2,3586.8,4802.2
21-Jul-23 7:15 AM ICT,1002.9,98.1,1890.6,496.3,1812.5,3586.8,4806.2
21-Jul-23 7:30 AM ICT,1003.1,98.1,1891.3,496.5,1812.7,3602.8,4829.7
21-Jul-23 7:45 AM ICT,1000.4,98.1,1892.3,496.7,1813.3,3602.8,4858.5
21-Jul-23 8:00 AM ICT,1009.1,98.1,1894.2,496.9,1814.3,3625.3,4890.5
21-Jul-23 8:15 AM ICT,1008.7,98.2,1899.4,497.6,1816.5,3627.3,4923.4
21-Jul-23 8:30 AM ICT,1016.8,98.2,1906.8,499.0,1818.6,3619.6,4953.5
21-Jul-23 8:45 AM ICT,1024.0,98.7,1916.0,501.5,1821.9,3620.9,4991.3
21-Jul-23 9:00 AM ICT,1032.9,98.8,1927.7,503.6,1824.9,3636.9,5028.6
21-Jul-23 9:15 AM ICT,1047.1,98.8,1940.8,505.5,1829.7,3668.9,5061.2
21-Jul-23 9:30 AM ICT,1057.4,98.8,1953.9,507.6,1834.1,3684.9,5096.0
21-Jul-23 9:45 AM ICT,1073.9,98.9,1968.7,510.0,1838.3,3700.9,5132.8
21-Jul-23 10:00 AM ICT,1077.6,98.9,1988.0,512.4,1842.9,3748.9,5168.8
21-Jul-23 10:15 AM ICT,1097.1,98.9,2004.5,514.3,1847.1,3764.9,5207.3
21-Jul-23 10:30 AM ICT,1107.9,98.9,2017.0,516.7,1851.6,3796.9,5249.4
21-Jul-23 10:45 AM ICT,1112.0,98.5,2030.7,518.8,1856.0,3812.9,5289.9
21-Jul-23 11:00 AM ICT,1124.4,98.5,2047.3,520.7,1860.9,3860.9,5328.4
21-Jul-23 11:15 AM ICT,1133.8,98.0,2067.4,523.2,1868.3,3908.9,5365.1
21-Jul-23 11:30 AM ICT,1144.6,98.0,2085.0,525.4,1876.1,3956.9,5400.5
21-Jul-23 11:45 AM ICT,1151.5,98.0,2100.7,527.0,1883.7,3988.9,5433.6
