Timestamp,VM_KW(kW)
17-Aug-23 10:40 AM ICT,20.5
17-Aug-23 10:45 AM ICT,20.6
17-Aug-23 10:50 AM ICT,20.5
17-Aug-23 10:55 AM ICT,20.3
17-Aug-23 11:00 AM ICT,24.4
17-Aug-23 11:05 AM ICT,28.3
17-Aug-23 11:10 AM ICT,28.2
17-Aug-23 11:15 AM ICT,25.2
17-Aug-23 11:20 AM ICT,26.7
17-Aug-23 11:25 AM ICT,28.1
17-Aug-23 11:30 AM ICT,28.1
17-Aug-23 11:35 AM ICT,28.4
17-Aug-23 11:40 AM ICT,26.9
17-Aug-23 11:45 AM ICT,25.6
17-Aug-23 11:50 AM ICT,28.1
17-Aug-23 11:55 AM ICT,27.8
17-Aug-23 12:00 PM ICT,27.2
17-Aug-23 12:05 PM ICT,25.5
17-Aug-23 12:10 PM ICT,21.6
17-Aug-23 12:15 PM ICT,20.4
17-Aug-23 12:20 PM ICT,21.4
17-Aug-23 12:25 PM ICT,22.9
17-Aug-23 12:30 PM ICT,22.1
17-Aug-23 12:35 PM ICT,21.9
17-Aug-23 12:40 PM ICT,25.0
17-Aug-23 12:45 PM ICT,25.1
17-Aug-23 12:50 PM ICT,25.6
17-Aug-23 12:55 PM ICT,25.0
17-Aug-23 1:00 PM ICT,23.5
17-Aug-23 1:05 PM ICT,23.9
17-Aug-23 1:10 PM ICT,24.7
17-Aug-23 1:15 PM ICT,26.8
17-Aug-23 1:20 PM ICT,28.2
17-Aug-23 1:25 PM ICT,31.4
17-Aug-23 1:30 PM ICT,30.9
17-Aug-23 1:35 PM ICT,33.1
17-Aug-23 1:40 PM ICT,33.3
17-Aug-23 1:45 PM ICT,30.6
17-Aug-23 1:50 PM ICT,32.1
17-Aug-23 1:55 PM ICT,31.5
17-Aug-23 2:00 PM ICT,36.3
17-Aug-23 2:05 PM ICT,34.6
17-Aug-23 2:10 PM ICT,37.0
17-Aug-23 2:15 PM ICT,35.1
17-Aug-23 2:20 PM ICT,34.9
17-Aug-23 2:25 PM ICT,37.8
17-Aug-23 2:30 PM ICT,40.8
17-Aug-23 2:35 PM ICT,37.7
17-Aug-23 2:40 PM ICT,35.9
17-Aug-23 2:45 PM ICT,39.9
17-Aug-23 2:50 PM ICT,41.6
17-Aug-23 2:55 PM ICT,40.2
17-Aug-23 3:00 PM ICT,38.1
17-Aug-23 3:05 PM ICT,37.9
17-Aug-23 3:10 PM ICT,38.8
17-Aug-23 3:15 PM ICT,40.6
17-Aug-23 3:20 PM ICT,40.9
17-Aug-23 3:25 PM ICT,38.5
17-Aug-23 3:30 PM ICT,43.8
17-Aug-23 3:35 PM ICT,45.8
17-Aug-23 3:40 PM ICT,40.1
17-Aug-23 3:45 PM ICT,38.4
17-Aug-23 3:50 PM ICT,37.8
17-Aug-23 3:55 PM ICT,38.7
17-Aug-23 4:00 PM ICT,38.5
17-Aug-23 4:05 PM ICT,34.9
17-Aug-23 4:10 PM ICT,37.1
17-Aug-23 4:15 PM ICT,40.4
17-Aug-23 4:20 PM ICT,40.1
17-Aug-23 4:25 PM ICT,38.7
17-Aug-23 4:30 PM ICT,37.8
17-Aug-23 4:35 PM ICT,34.4
17-Aug-23 4:40 PM ICT,32.9
17-Aug-23 4:45 PM ICT,25.2
17-Aug-23 4:50 PM ICT,22.9
17-Aug-23 4:55 PM ICT,20.1
17-Aug-23 5:00 PM ICT,15.1
17-Aug-23 5:05 PM ICT,11.1
17-Aug-23 5:10 PM ICT,7.1
17-Aug-23 5:15 PM ICT,2.6
17-Aug-23 5:20 PM ICT,1.2
17-Aug-23 5:25 PM ICT,1.1
17-Aug-23 5:30 PM ICT,1.2
17-Aug-23 5:35 PM ICT,1.2
17-Aug-23 5:40 PM ICT,1.1
17-Aug-23 5:45 PM ICT,1.2
17-Aug-23 5:50 PM ICT,1.2
17-Aug-23 5:55 PM ICT,1.3
17-Aug-23 6:00 PM ICT,1.4
17-Aug-23 6:05 PM ICT,1.3
17-Aug-23 6:10 PM ICT,1.3
17-Aug-23 6:15 PM ICT,1.4
17-Aug-23 6:20 PM ICT,1.9
17-Aug-23 6:25 PM ICT,2.5
17-Aug-23 6:30 PM ICT,2.5
17-Aug-23 6:35 PM ICT,2.5
17-Aug-23 6:40 PM ICT,2.5
17-Aug-23 6:45 PM ICT,2.5
17-Aug-23 6:50 PM ICT,2.6
17-Aug-23 6:55 PM ICT,2.4
17-Aug-23 7:00 PM ICT,2.4
17-Aug-23 7:05 PM ICT,2.4
17-Aug-23 7:10 PM ICT,2.5
17-Aug-23 7:15 PM ICT,2.6
17-Aug-23 7:20 PM ICT,2.6
17-Aug-23 7:25 PM ICT,2.6
17-Aug-23 7:30 PM ICT,2.6
17-Aug-23 7:35 PM ICT,2.6
17-Aug-23 7:40 PM ICT,2.6
17-Aug-23 7:45 PM ICT,2.6
17-Aug-23 7:50 PM ICT,2.6
17-Aug-23 7:55 PM ICT,2.5
17-Aug-23 8:00 PM ICT,2.5
17-Aug-23 8:05 PM ICT,2.6
17-Aug-23 8:10 PM ICT,2.7
17-Aug-23 8:15 PM ICT,2.6
17-Aug-23 8:20 PM ICT,2.5
17-Aug-23 8:25 PM ICT,2.4
17-Aug-23 8:30 PM ICT,2.6
17-Aug-23 8:35 PM ICT,2.6
17-Aug-23 8:40 PM ICT,2.6
17-Aug-23 8:45 PM ICT,2.6
17-Aug-23 8:50 PM ICT,2.6
17-Aug-23 8:55 PM ICT,2.6
17-Aug-23 9:00 PM ICT,2.6
17-Aug-23 9:05 PM ICT,2.6
17-Aug-23 9:10 PM ICT,2.6
17-Aug-23 9:15 PM ICT,2.7
17-Aug-23 9:20 PM ICT,2.7
17-Aug-23 9:25 PM ICT,2.5
17-Aug-23 9:30 PM ICT,2.5
